StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 04:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Hate |=> Message: auck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
StringTime: 22:51:40:23 |=> Caption: Love |=> Message: Fuck |=> FileName:  |=> Method:  |=> LineNumber: -1
